RP2040 Pico USB C,1.99,"https://www.aliexpress.us/item/3256808040042288.html?spm=a2g0o.productlist.main.2.7b5d328f2rZ0Kk&algo_pvid=4e296762-5c0e-459b-b1f6-ba2306fd98c6&algo_exp_id=4e296762-5c0e-459b-b1f6-ba2306fd98c6-1&pdp_ext_f=%7B""order""%3A""30""%2C""eval""%3A""1""%7D&pdp_npi=4%40dis%21USD%2110.51%213.69%21%21%2175.16%2126.43%21%40210337c117496162516362210eb7d4%2112000044297086886%21sea%21US%216330817038%21X&curPageLogUid=oRgrVCWBuHse&utparam-url=scene%3Asearch%7Cquery_from%3A"
Switches x110,23.6,https://www.amazon.com/KPREPUBLIC-Princess-Tactile-Mechanical-Keyboard/dp/B0C533CCXY?th=1
Key Caps,29.99,https://www.amazon.com/Sumgsn-Spacebar-Switches-Mechanical-Keyboard/dp/B0BNN2M9QD/?_encoding=UTF8&pd_rd_w=Owgs7&content-id=amzn1.sym.255b3518-6e7f-495c-8611-30a58648072e%3Aamzn1.symc.a68f4ca3-28dc-4388-a2cf-24672c480d8f&pf_rd_p=255b3518-6e7f-495c-8611-30a58648072e&pf_rd_r=SR0ZSF2C3SRVJ6WBDXZ4&pd_rd_wg=cmrkw&pd_rd_r=99deb115-383c-4166-b5aa-908d03b4ab75&ref_=pd_hp_d_atf_ci_mcx_mr_ca_hp_atf_d&th=1
Stabilizers,5.54,"https://www.aliexpress.us/item/3256801499984864.html?spm=a2g0o.productlist.main.2.5e802Ptr2PtrTU&algo_pvid=894e96cb-5856-42ec-b70d-f3d1f1ab610d&algo_exp_id=894e96cb-5856-42ec-b70d-f3d1f1ab610d-1&pdp_ext_f=%7B""order""%3A""111""%2C""eval""%3A""1""%7D&pdp_npi=4%40dis%21USD%215.54%215.54%21%21%215.54%215.54%21%40210318e817496929936517433e29c3%2112000017133740376%21sea%21US%216330817038%21X&curPageLogUid=4ANDMTxK2PfM&utparam-url=scene%3Asearch%7Cquery_from%3A"
Cable,2.59,https://www.amazon.com/FEMORO-Monitor-Display-Transfer-Thunderbolt/dp/B0F23ZT4LV/ref=sr_1_9?crid=2ZKUO80E5SP4L&dib=eyJ2IjoiMSJ9.a99dA3Xkjh7kuCLJPGQ2w054v8sE_aP7os6HZe7ytSPJiTMGqsE7HuaqPAtd1a3zuaMVoQJrTKKsrSQHJpsi8vS-W7E6vbY89hHuhvpkfkeG4o6GhmpTfCiDUu-5lZSol22VuA1Ba0a5nhJrrq8EP_EZwHwvoMC1stC9nnUkoIQQTduGNrMQYjUpZbl7L0n7ey4Yf4511wipaNn38RS3PkKullkE1e1DvtnHBdEws-8h8J8aPsmIx5VRWdyiVi7A3NyJ_uR7ZrmGwf51hGABbnt-1DGXWqk3uVoJZLORkWA.jJ-LFd0boDIYZOtuu-53lBCiVccYsCGkF-oIuI3DvOs&dib_tag=se&keywords=usb+c+cable+6ft+data&qid=1749609642&s=industrial&sprefix=usb+c+cable+6ft+data%2Cindustrial%2C81&sr=1-9
PCB,73.05,JLC PCB
Diodes,1.39,idk how to link it since its in dollar express
Right Angle Pogo Pins,6.04,https://www.aliexpress.us/item/3256807268443322.html?spm=a2g0o.cart.0.0.3ba038dahY2nVH&mp=1&pdp_npi=5%40dis%21USD%21USD%206.04%21USD%206.04%21%21USD%205.47%21%21%21%402101ef5e17496929103664858e21ef%2112000040826212953%21ct%21US%216330817038%21%211%210&_gl=1*4pbm4g*_gcl_aw*R0NMLjE3NDM2NTYyOTYuQ2p3S0NBand3TE9fQmhCMkVpd0F4MmUtMzhTVXhwSnVVaFY3RDJGTEt4dHVKa3pZa1FfMXBDelhMN3dDNEpjNjlwWkxjUUIzc19PMVNob0NsdzRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDM2NTYyOTYuQ2p3S0NBand3TE9fQmhCMkVpd0F4MmUtMzhTVXhwSnVVaFY3RDJGTEt4dHVKa3pZa1FfMXBDelhMN3dDNEpjNjlwWkxjUUIzc19PMVNob0NsdzRRQXZEX0J3RQ..*_gcl_au*ODM0OTgyNzI4LjE3NDkxODQwOTI.*_ga*MTY5NzgyMzkxMS4xNzQ5MTg0MDky*_ga_VED1YSGNC7*czE3NDk2OTI1MTckbzgkZzEkdDE3NDk2OTI5MDkkajU5JGwwJGgw&gatewayAdapt=glo2usa
Schottky Diode,4.65,https://www.aliexpress.us/item/3256803563924504.html?spm=a2g0o.detail.0.0.4761scYYscYYhd&mp=1&pdp_npi=5%40dis%21USD%21USD%204.65%21USD%204.65%21%21USD%204.22%21%21%21%402101c59817496929409135558e8112%2112000027034712557%21ct%21US%216330817038%21%211%210&_gl=1*147gwp3*_gcl_aw*R0NMLjE3NDM2NTYyOTYuQ2p3S0NBand3TE9fQmhCMkVpd0F4MmUtMzhTVXhwSnVVaFY3RDJGTEt4dHVKa3pZa1FfMXBDelhMN3dDNEpjNjlwWkxjUUIzc19PMVNob0NsdzRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3NDM2NTYyOTYuQ2p3S0NBand3TE9fQmhCMkVpd0F4MmUtMzhTVXhwSnVVaFY3RDJGTEt4dHVKa3pZa1FfMXBDelhMN3dDNEpjNjlwWkxjUUIzc19PMVNob0NsdzRRQXZEX0J3RQ..*_gcl_au*ODM0OTgyNzI4LjE3NDkxODQwOTI.*_ga*MTY5NzgyMzkxMS4xNzQ5MTg0MDky*_ga_VED1YSGNC7*czE3NDk2OTI1MTckbzgkZzEkdDE3NDk2OTI5NTYkajEyJGwwJGgw&gatewayAdapt=glo2usa
Total:,148.84,
